date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:25:34	43777/43777	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Jul%202022%2019:55:34%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Bold.woff2	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Butler_Bold.woff2	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:35	24332/24332	---M--	200	added ('OK')	font/woff	date:Wed,%2001%20Dec%202021%2013:02:44%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Tahu!.woff	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/fonts/Tahu!.woff	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:35	2859/2859	---M--	200	added ('OK')	image/png	date:Sat,%2004%20Sep%202021%2014:29:54%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/btn-bg.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/btn-bg.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:37	59908/59908	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2006:34:58%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Astrologer-card-bg.jpg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Astrologer-card-bg.jpg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:38	99777/99777	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Sep%202021%2016:55:48%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Sun-R.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Sun-R.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:39	314846/314846	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Sep%202021%2017:01:44%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/hero-banner.jpg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/hero-banner.jpg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:40	432265/432265	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Sep%202021%2013:58:40%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/century-sec-bg.jpg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/century-sec-bg.jpg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:40	101555/101555	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Sep%202021%2016:55:28%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Sun-L.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Sun-L.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:41	452/452	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Dec%202021%2011:05:14%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/white-select-icon.svg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/white-select-icon.svg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:41	780/780	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Dec%202021%2010:49:56%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/search-icon.svg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/search-icon.svg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:42	454/454	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2002%20Dec%202021%2011:03:04%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/black-select-icon.svg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/black-select-icon.svg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:42	335490/335490	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Sep%202021%2016:40:14%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/subscrrib-bg-img.jpg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/subscrrib-bg-img.jpg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:43	72009/72009	---M--	200	added ('OK')	image/jpeg	date:Sun,%2019%20Sep%202021%2018:43:40%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/hero-banner-mo.jpg	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/hero-banner-mo.jpg	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:44	38048/38048	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Sep%202021%2017:38:50%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Sun-R-mo.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/Sun-R-mo.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
01:25:44	10725/10725	---M--	200	added ('OK')	image/png	date:Wed,%2001%20Dec%202021%2012:07:16%20GMT	https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/left-cloud.png	E:/AstroGuru/AstroGuru/learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/img/left-cloud.png	(from https://learn.supporthives.com/monkvyasa/public/assets/monk-vyasa/css/custom-vijay.css)
